epoch,train_loss,test_acc
1,0.21129634993347696,31.40194489465154
2,0.11602505039635713,12.520259319286872
3,0.08312976098642116,10.656401944894652
4,0.06710884816550869,9.481361426256079
5,0.05649669574709927,9.076175040518638
6,0.04948173906139242,6.807131280388978
7,0.04428783266206946,29.01134521880065
8,0.04108892051063902,76.41815235008103
9,0.03739635313035754,76.21555915721233
10,0.03513861794206427,10.291734197730957
11,0.032853014852919776,75.32414910858995
12,0.03039084443012328,77.43111831442464
13,0.02913854602323012,3.889789303079417
14,0.027381629868300738,27.39059967585089
15,0.0271224083378911,18.881685575364667
16,0.023656349503189112,35.37277147487845
17,0.02358203703387095,35.37277147487845
18,0.023087589046917857,6.645056726094004
19,0.021365349270342813,54.25445705024311
20,0.02033924999932202,73.74392220421394
