epoch,train_loss,test_acc
1,0.20012887666622797,24.71636952998379
2,0.10335695209905384,51.90437601296597
3,0.07568637518499925,65.59967585089142
4,0.061019120777283255,61.912479740680716
5,0.05293207511124087,65.6807131280389
6,0.04650283323192015,70.82658022690438
7,0.04279627638104243,72.24473257698541
8,0.040028787208948195,74.14910858995137
9,0.036527340126988606,73.21717990275528
10,0.03390634871292405,74.87844408427877
11,0.03157511084734243,77.06645056726093
12,0.029416315969291743,78.52512155591572
13,0.026391970987121264,79.45705024311182
14,0.02556504860181528,79.49756888168558
15,0.02363547598167012,78.64667747163695
16,0.02188933230444365,77.99837925445705
17,0.02008609590586748,80.6320907617504
18,0.019277080923424866,79.09238249594813
