epoch,train_loss,test_acc
1,0.20865840183767845,11.142625607779578
2,0.13401337662726884,25.486223662884928
3,0.09702733236599743,35.6969205834684
4,0.07207115231672438,66.73419773095624
5,0.060674916974049274,71.11021069692059
6,0.053157113587892636,75.52674230145867
7,0.047308108231007326,64.18152350081037
8,0.043995669498146185,75.0
9,0.04003642352631058,72.40680713128039
10,0.03682333362001047,60.777957860615885
11,0.03507918963791817,75.72933549432739
12,0.03188693197784809,72.3257698541329
13,0.029385981743973565,65.27552674230147
14,0.027265906755148048,77.75526742301459
15,0.02572446844154378,78.52512155591572
16,0.02366274229849015,78.24149108589951
17,0.022203024063823455,68.43598055105349
18,0.021646461614721824,74.67585089141005
19,0.021138941372150357,80.22690437601297
20,0.018640883596201346,79.86223662884927
